Právě:	This is of
rozumí:	a mortality vehicle
náhlý:	sudden short mortality
úhyn:	shall abnormal mortality
postihne:	sudden short mortality
15:	shall 15 stocks
chované:	sudden short mortality
krátkém:	sudden short mortality
inspekcemi:	sudden short mortality
potvrzen:	sudden short mortality
dnů:	after days within
líhni:	cannot included spawns
považován:	a cannot included
abnormální:	considered abnormal mortality
nedojde:	be which period
vývoji:	be shall implemented
larev:	cannot included spawns
několikerému:	cannot included spawns
následujícímu:	cannot included spawns
tření:	cannot included spawns
generačních:	cannot included spawns
ryb:	farmer hatchery spawns
sádce:	a on time
potrubích:	a on time
náhlému:	a on time
hromadnému:	a on time
úhynu:	on abnormal mortality
Členské:	shall farms Member
zajistí:	that ensure farms
všechna:	all shall rearing
chovem:	that farms rearing
zaevidována:	official must service
úředním:	official must service
útvarem:	official must service
evidenci:	official must service
průběžně:	official must service
aktualizovat:	official must service
záznamy:	a keep record
živých:	their ( live
mlžích:	their containing information
umístěných:	their delivery entering
dané:	in their all
dodávce:	their delivery entering
velikosti:	their containing size
b:	( ) b
opouštějících:	their leaving destination
účelem:	the for reimmersion
opětovného:	their leaving destination
vysazení:	their leaving destination
vody:	farm water reimmersion
odeslání:	their leaving destination
určení:	for bivalve molluscs
c:	( ) c
zjištěném:	observed abnormal c
útvar:	official service demand
vyžádání:	open scrutiny updated
kdykoliv:	open scrutiny updated
nahlédnout:	open scrutiny updated
pravidelně:	on shall kept
aktualizovány:	open scrutiny updated
uchovávány:	open scrutiny updated
dbají:	there whether observe
hospodářstvích:	is ensure areas
chovných:	farms natural areas
oblastech:	ensure beds zones
obhospodařovaných:	farms natural areas
přirozeného:	farming harvested beds
výskytu:	that harvested beds
zaveden:	is there whether
sledování:	applied monitoring programme
odběr:	a an there
vzorků:	applied monitoring sampling
zjišťovat:	there whether observe
sledovat:	there whether observe
veterinární:	of there shall
Úřední:	the official service
zavést:	In above apply
střediscích:	water tanks discharge
čištění:	sea centres storage
skladovacích:	water tanks discharge
nádržích:	water tanks discharge
odtéká:	sea centres storage
voda:	sea centres storage
uvedeného:	the be programme
zjištěn:	presence giving suspect
ukazují:	this during measures
choroby:	be diseases programme
žádoucí:	during taken measures
vypracovat:	be sites drawn
seznam:	a are list
míst:	a been subject
příloze:	sites diseases Annex
seznamu:	provided list where
nevztahuje:	not are subject
schválený:	are subject approved
základě:	of on pursuant
uvedené:	the shall referred
výskytem:	on which presence
ukazující:	on which presence
kontrolovat:	of monitoring spread
zeměpisné:	of evolution indents
odrážce:	of monitoring indents
Prováděcí:	application adopted Detailed
pravidla:	this rules adopted
tomuto:	be shall application
vypracování:	for taking establishing
odstavci:	taking referred paragraph
frekvence:	for taking establishing
rozvrhu:	for taking establishing
způsobů:	for taking establishing
odběru:	of referred analysis
statisticky:	for taking establishing
reprezentativní:	be representative referred
objem:	The be volume
diagnostických:	for taking establishing
metod:	of shall methods
postupem:	in accordance procedure
podezření:	or soon shellfish
nejrychleji:	as by possible
sděleno:	by are communicated
úřednímu:	or soon shellfish
útvaru:	official soon service
samotnými:	or soon rate
chovateli:	or soon shellfish
jakoukoli:	has any other
osobou:	soon natural person
dospěla:	or soon shellfish
těmto:	as has these
zjištěním:	or soon shellfish
Nastane:	States In case
uvedená:	the in Member
proveden:	for are approved
vyšetření:	a examination laboratory
schválené:	are approved laboratory
laboratoři:	are approved laboratory
obdržením:	no leave authorized
písmenem:	no leave authorized
neopustili:	the area relaying
žádní:	no leave authorized
mlži:	the area relaying
zamořené:	no leave authorized
chovnou:	the area relaying
oblast:	the in area
obhospodařovaná:	the area relaying
skladovací:	no leave authorized
nádrže:	no which tanks
sádkování:	the area relaying
nasazení:	the in relaying
vodním:	no leave authorized
prostředí:	the no environment
nepovolí:	no leave pending
Neprokáže:	be a paragraph
odst:	( ) lifted
písm:	to shall restrictions
patogenního:	If referred pathogen
původce:	If referred pathogen
ruší:	be a paragraph
omezení:	of in paragraph
Prokáže:	investigation shows epizootic
odstavce:	of elsewhere paragraph
zjištěného:	of observed mortality
abnormálního:	of cause abnormal
některé:	an by some
provede:	must carried order
epizootické:	investigation shows epizootic
šetření:	of investigation epizootic
nákazy:	must carried order
ověřil:	must carried order
předcházelo:	must carried order
nákaza:	moved paragraph provisions
zavlečena:	moved paragraph provisions
použije:	has apply period
odstavec:	moved paragraph provisions
Odchylně:	with way derogation
čl:	( ) Article
jím:	its by However
kontrolovaného:	its by However
povolit:	of , Article
přesun:	its by However
zamořeny:	its by However
stejnou:	, same may
nákazou:	its by However
přijata:	If taken submit
dodatečná:	in on If
neprodleně:	with shall forthwith
platných:	current informed immediately
postupů:	informed taken procedures
informovány:	current informed immediately
případech:	of been laid
opatřeních:	with taken measures
přijatých:	any taken measures
posouzení:	of The any
nápravy:	are informed accordance
příčině:	current informed immediately
Odběry:	using Sampling testing
laboratorní:	using Sampling testing
příčiny:	for established using
provádějí:	be out carried
stanovených:	in down laid
členském:	State Member paragraph
určena:	Member designated addressed
referenční:	shall referred reference
laboratoř:	with Member laboratory
technicky:	with personnel designated
personálně:	is with designated
vybavena:	personnel designated enabling
provádět:	out ensure carry
rozbory:	personnel designated enabling
příslušnou:	in not matter
specializovanou:	matter use competence
služeb:	is a services
specializované:	matter use competence
laboratoře:	in matter laboratory
členského:	State matter Member
Seznam:	out set national
referenčních:	The national reference
laboratoří:	out national laboratories
uveden:	of out national
spolupracují:	cooperate shall laboratories
uvedenou:	the to referred
Referenční:	reference indicated Reference
uvedena:	The indicated listed
Aniž:	down laid Without
dotčeno:	those expenditure functions
424:	those expenditure functions
26:	down laid 26
června:	thereof June expenditure
výdajích:	those expenditure functions
28:	those expenditure 28
pravomoci:	of those expenditure
povinnosti:	are shall duties
stanoveny:	those expenditure functions
B:	down laid B
Znalci:	to on experts
hlediska:	to on big
jednotného:	to on experts
kontroly:	- whereas experts
tímto:	in be ensure
náhodným:	with they requirements
nediskriminujícím:	with they requirements
způsobem:	in - manner
ujistit:	with they requirements
příslušný:	with they competent
kontroluje:	of with they
dodržování:	to that needed
uvědomí:	the shall inform
výsledku:	these results checks
provedených:	of these results
kontrol:	The these results
Kontroly:	to checks collaboration
příslušným:	The competent collaboration
orgánem:	be shall authority
Členský:	State in Member
kontrola:	out they require
provádí:	The they shall
poskytne:	out they require
znalcům:	out they require
plnění:	The any shall
úkolu:	out they require
změní:	a Annex acting
Rada:	as by Council
kvalifikovanou:	be majority qualified
přílohu:	Annex amended acting
Přílohy:	as amended Annexes
pozměněny:	as amended Annexes
postup:	laid Where procedure
přednese:	followed matters referred
Stálému:	' set referred
veterinárnímu:	' set referred
zřízenému:	' set referred
rozhodnutím:	to by decision
68:	' set referred
361:	' set referred
6:	be as 6
podnětu:	Chairman initiative either
zástupce:	' shall representative
některého:	to by Chairman
Zástupce:	The a draft
Výbor:	The Committee shall
zaujme:	time limit urgency
návrhu:	on draft deliver
lhůtě:	The set within
stanovit:	the down lay
naléhavosti:	time limit urgency
Stanovisko:	in be delivered
přijímá:	be majority shall
148:	in required 148
Smlouvy:	of Treaty decisions
přijímání:	down laid required
přijímat:	down laid required
Hlasům:	The be manner
zástupců:	States Committee representatives
přidělena:	shall votes weighted
stanovená:	out that set
uvedeném:	The be manner
Předseda:	The Chairman shall
nehlasuje:	not Chairman vote
vozidlem:	at intended exceeding
vozidlo:	- exception vehicle
zážehovým:	at intended exceeding
motorem:	at intended exceeding
určené:	with a by
provozu:	the of working
pozemních:	at intended exceeding
komunikacích:	at intended exceeding
karoserií:	at intended exceeding
karoserie:	at intended exceeding
maximální:	means permissible maximum
přípustnou:	of - permissible
hmotnost:	of at weight
400:	a intended 400
kg:	of means kg
konstrukční:	of at any
rychlost:	on use speed
km:	at intended exceeding
h:	with at on
zemědělských:	a agricultural purpose
traktorů:	at intended exceeding
strojů:	at intended exceeding
nesmějí:	to not shall
odmítnout:	State grounds refuse
udělit:	State grounds refuse
schválení:	to type approval
vnitrostátní:	a grounds national
určitý:	State grounds refuse
typ:	to vehicle grant
vozidla:	of type vehicle
týkajících:	- Member relating
znečišťování:	State grounds refuse
ovzduší:	of - atmosphere
plyny:	by grounds gases
zážehových:	State grounds refuse
motorů:	State grounds refuse
motorových:	of type motor
vozidel:	of vehicles motor
1970:	shall 1970 trailers
splňuje:	that where contained
obsažené:	that where contained
požadavků:	with both requirements
bodech:	that where contained
přílohách:	both those Annexes
IV:	in both IV
VI:	both those V
1971:	addition requirements 1971
přílohy:	in addition Annex
III:	addition satisfies III
výrobce:	the a manufacturer
pověřeného:	provided being complete
vyplní:	of a provided
orgán:	its an for
daného:	of by concerned
VII:	of for VII
Kopii:	to be A
zašle:	to be A
ostatním:	the of other
žadateli:	to be A
Ostatní:	out that carried
žádány:	out that carried
vnitrostátního:	out that carried
tentýž:	out that carried
přijmou:	shall Member adopt
dokument:	that which document
důkaz:	out that carried
vykonání:	out that carried
předepsané:	that carried shall
zkoušky:	shall type tests
Odstavec:	soon paragraph vehicles
zrušuje:	soon paragraph vehicles
vstupem:	of be into
platnost:	force into provisions
udělí:	has modification characteristic
nezbytná:	take ensure necessary
vlastností:	State it Member
1.1:	has modification characteristic
Změna:	not modification reveal
zkouškách:	not modification reveal
prokáže:	not modification reveal
nesplnění:	not modification reveal
Změny:	in adopted amendments
přizpůsobení:	down laid procedure
příloh:	of account Annexes
technickému:	be with technical
přijímají:	necessary adopted amendments
stanoveným:	of account Annexes
13:	as shall 13
schvalování:	of account Annexes
přípojných:	of account Annexes
předpisy:	before rules provisions
souladu:	of with containing
touto:	this before comply
směrnicí:	shall Directive adopt
Komisi:	Commission shall requirements
znění:	law field adopt
ustanovení:	in provisions text
vnitrostátních:	by national communicate
právních:	the law field
předpisů:	the they provisions
působnosti:	which communicate covered
března:	, March Done
DEFINICE:	DEFINITIONS FOR AND
ŽÁDOST:	APPLICATION FOR TYPE
SCHVÁLENÍ:	APPLICATION FOR TYPE
TYPU:	APPLICATION FOR TYPE
POŽADAVKY:	AND TEST SPECIFICATIONS
NA:	AND TEST SPECIFICATIONS
ZKOUŠKY:	AND TEST SPECIFICATIONS
Typ:	type Vehicle limitation
zřetelem:	Vehicle regard limitation
plynných:	with emission gaseous
znečišťujících:	emission gaseous pollutants
látek:	the emission gaseous
motoru:	the engine Vehicle
Typem:	not differ respects
rozumějí:	not means which
neliší:	not differ respects
zásadních:	not differ respects
hlediscích:	not differ respects
bodům:	not essential points
ekvivalentní:	relation inertia 4.2
setrvačná:	relation inertia 4.2
předepsáno:	relation inertia 4.2
bodu:	the of item
4.2:	relation inertia 4.2
Hmotností:	is - full
provozním:	running weight order
celková:	with a total
nenaloženém:	is - full
nádržemi:	is - full
plnými:	is - full
palivové:	is - full
naplněna:	is - full
poloviny:	- full plans
soupravou:	is - full
nářadí:	is - full
náhradním:	is - full
vozidle:	is - full
hmotností:	by means weight
jednotnou:	uniform Reference 120
120:	uniform Reference 120
Kliková:	Stefan Engine crankcase
skříň:	Stefan Engine crankcase
Klikovou:	which external crankcase
prostory:	which external crankcase
vně:	which external crankcase
spojeny:	which external crankcase
jímkou:	which external crankcase
oleje:	which external crankcase
vnitřními:	which external crankcase
vnějšími:	which external crankcase
kanály:	which external crankcase
kterými:	to which external
unikat:	are can escape
Plynné:	Researcher pollutants Gaseous
znečišťující:	Researcher pollutants Gaseous
Plynnými:	Gaseous carbon hydrocarbons
znečišťujícími:	Gaseous carbon hydrocarbons
látkami:	Gaseous monoxide hydrocarbons
oxidu:	Gaseous monoxide dioxide
uhelnatého:	Gaseous carbon hydrocarbons
uhlovodíků:	Gaseous carbon hydrocarbons
Maximální:	permissible maximum Maximum
přípustná:	this declared technically
povolená:	by permissible technically
Výrobce:	The by particulars
pověřený:	be by particulars
údaje:	must data particulars
popis:	A particulars description
výkresy:	the of piston
spalovací:	the of piston
komory:	the of chamber
pístu:	the of piston
pístních:	the of piston
kroužků:	the of piston
zdvihy:	dead centres angles
ventilů:	dead centres angles
úhly:	dead centres angles
otvírání:	dead centres angles
zavírání:	dead centres angles
vzhledem:	of in relation
úvratím:	dead centres angles
popsané:	to approved conducting
technické:	approved technical conducting
zkušebně:	to approved conducting
představující:	to approved conducting
schválen:	to approved conducting
Obecně:	General Aleksander Virginia
Konstrukční:	components constructed vibration
ovlivnit:	with affect constructed
konstruovány:	components constructed vibration
vyráběny:	components constructed vibration
smontovány:	components constructed vibration
umožnily:	components constructed vibration
vozidlu:	components constructed vibration
normálním:	as it normal
užívání:	components constructed vibration
splňovat:	the in to
vibrace:	components constructed vibration
Popis:	of tests Description
zkoušek:	of tests Description
Vozidlo:	The be shall
podrobí:	be according specified
hmotnostní:	according Types specified
kategorie:	according Types specified
uvedeným:	to specified below
zkouškám:	according Types specified
typů:	as according specified
Zkouška:	a cold average
ověření:	pattern verification initial
průměrných:	a cold average
městské:	cold Type urban
zástavbě:	a cold average
studeném:	a cold average
zkouška:	out carried shall
vykonat:	does 3 exceed
nepřevyšující:	does 3 exceed
3,5:	does 3 exceed
tuny:	does 3 exceed
umístí:	a dynamometer flywheel
vozidlový:	a dynamometer flywheel
dynamometr:	a dynamometer flywheel
vybavený:	a dynamometer flywheel
brzdou:	a dynamometer flywheel
setrvačníkem:	a dynamometer flywheel
Provede:	A thirteen comprising
přerušení:	a A interruption
trvající:	A thirteen comprising
třináct:	A thirteen comprising
skládající:	A thirteen comprising
cyklů:	A thirteen comprising
obsahuje:	, shall phases
fází:	comprise acceleration steady
volnoběh:	comprise acceleration steady
zrychlení:	comprise acceleration steady
stálá:	comprise acceleration steady
zpomalení:	comprise deceleration slowing
atd:	acceleration deceleration etc
jímají:	During test collected
výfukové:	During test collected
vaků:	During test collected
Plyny:	period analysed measured
analyzují:	period analysed measured
periody:	period analysed measured
změří:	period analysed measured
Zkoušky:	out carried test
vykonají:	out carried test
sběr:	The be used
analýzu:	The be used
užít:	The be used
metody:	down laid methods
schválit:	methods equivalent yield
potvrdí:	methods equivalent yield
rovnocenné:	methods equivalent yield
výsledky:	of it results
Příslušné:	be should fresh
dotyčného:	of The that
posoudí:	be should fresh
nutné:	State The necessary
provést:	in should before
změněném:	be should fresh
vystavit:	be should fresh
Vztah:	with ICOs ICBs
organizací:	the of Fund
suroviny:	of associated Relationship
subjektů:	with ICOs ICBs
Prostředky:	be 's internationally
účtu:	have account stocks
používány:	by which shall
mezinárodními:	's shall ICOs
organizacemi:	's concluded internationally
zřízeny:	's concluded internationally
surovinách:	buffer established ICAs
upravujících:	's concluded internationally
regulační:	established stocks provisions
mezinárodně:	established stocks provisions
koordinované:	established stocks provisions
sklady:	established stocks provisions
uzavřely:	be Stock Exchange
přidružení:	agreement shall association
Dohoda:	The agreement consistent
dohodou:	adopted regulations therewith
pravidly:	adopted regulations therewith
neodporují:	adopted regulations therewith
dohodě:	of by rules
rada:	shall regulations executive
guvernérů:	by governing council
zřízená:	participating ICA principle
upravuje:	which participating ICA
přidružit:	financed Agreement ICA
sjednáno:	participating ICA principle
zásadou:	participating ICA principle
financování:	An ICO financing
nárazových:	participating ICA principle
zúčastněnými:	participating ICA principle
výrobci:	and purposes producers
spotřebiteli:	participating ICA principle
poplatků:	be for Agreement
Návrh:	proposed board recommendation
generální:	proposed board recommendation
radě:	proposed board recommendation
jejím:	the by shall
doporučením:	, proposed board
fondem:	Fund shall ICO
přidruženou:	agreement associated ICO
respektují:	other respect autonomy
vzájemně:	other respect autonomy
určí:	The responsible shall
vzájemná:	relevant provisions mutual
přidružené:	relevant provisions mutual
odpovídajícími:	relevant provisions mutual
ustanoveními:	specify mutual amend
Přidružená:	its associated ICO
oprávněná:	its associated ICO
půjčit:	its associated ICO
prostředky:	be from shall
dotčena:	without associated prejudice
obdržet:	its associated ICO
účastníci:	its associated ICO
plnili:	its associated ICO
náležitě:	its associated ICO
plní:	its associated ICO
závazky:	its are financing
upraví:	accounts settlement renewal
vypořádání:	accounts settlement renewal
účtů:	accounts settlement renewal
obnovením:	accounts settlement renewal
předchozí:	if may ICO
přidružená:	associated preceding ICO
surovinu:	associated preceding ICO
vysloví:	associated preceding ICO
vstoupit:	enter associated ICO
závazků:	associated preceding ICO
neintervenuje:	The not intervene
trzích:	in intervene markets
surovin:	The commodity intervene
Smí:	may However dispose
nakládat:	may However dispose
zásobami:	may However dispose
17:	, ( 17
ustanoví:	they time whether
vhodné:	they time whether
subjekty:	they time whether
přidružených:	they time whether
splňují:	they time whether
kritéria:	down laid criteria
Zúčtovací:	of account Unit
jednotka:	The Unit unit
měny:	account Unit currencies
vymezena:	schedule defined F
F:	schedule defined F
drží:	its , conduct
použitelné:	its shall usable
finanční:	, financial transactions
transakce:	its conduct transactions
výhradou:	by provided shall
16:	holding 16 exchange
neudržuje:	impose holding exchange
nezavádí:	impose holding exchange
držel:	impose holding exchange
používal:	impose holding exchange
směňoval:	impose holding exchange
pocházející:	by from deriving
plateb:	of Payment subscriptions
upsání:	of directly subscriptions
akcií:	a subscriptions shares
splaceného:	of contributed subscriptions
kapitálu:	of capital Payment
záručního:	with capital guarantee
hotovosti:	guarantee cash guarantees
namísto:	of with from
záruk:	guarantee lieu guarantees
vkladů:	from deposits resulting
plynoucích:	guarantee lieu guarantees
dobrovolných:	contributions Payment voluntary
půjček:	in Borrowing loans
e:	e Disposal forfeited
zcizení:	e Disposal forfeited
propadlých:	e Disposal forfeited
f:	out f investments
jistinu:	out f investments
příjmů:	to out income
úroků:	in on interest
investic:	out made investment
prostředků:	of in respect
Správní:	of practice valuation
metodu:	of method prevailing
ohodnocení:	of practice valuation
použitelných:	of practice valuation
měn:	international practice currencies
vyjádřených:	of practice valuation
zúčtovací:	of account unit
jednotce:	of practice valuation
měnovou:	of monetary valuation
praxí:	of , valuation
Kapitálové:	resources Capital Virginia
Kapitál:	of capital shall
skládá:	of The consist
rozděleného:	be Directly 47
47000:	be Directly 47
vydá:	to be divided
každá:	be 7 issued
nominální:	be divided par
7566,47145:	be Directly 47
zúčtovacích:	a account units
jednotek:	a account units
355624158:	be Directly 47
poskytnutého:	provided accordance Guarantee
14:	to 14 Guarantee
Akcie:	be by shall
vydané:	be shares issued
37000:	paid 000 37
splacených:	in - a
10000:	10 000 payable
nesplacených:	10 000 payable
upisovat:	available subscription Members
článkem:	for Article provisions
Počet:	of The contributed
zvýšen:	under increased upon
radou:	by under upon
56:	be a 56
12:	with May 12
zvýší:	to be pursuant
potřebnou:	by increased Shall
částku:	by increased Shall
nabídne:	required makes available
upisování:	required makes available
neupsané:	required makes available
akcie:	to pursuant shares
právo:	this right shall
povinnost:	the have conscription
Upisování:	of Batory Subscription
uvedený:	set referred subscribe
upíše:	shall Each subscribe
přílohou:	A set forth
100:	; paid 100
splacené:	paid additional Any
nesplacené:	paid additional Any
odpovídajícím:	conditions agreed allocation
rozdělení:	- with determined
podmínkami:	by terms agreed
dohodnutými:	conditions agreed allocation
přidělit:	second less basis
účet:	its second account
upsaných:	second less basis
dobrovolného:	second less basis
přídělu:	second less basis
nesmí:	of not under
52965300:	second less basis
zastavovány:	manner encumbered transferable
zatěžovány:	manner encumbered transferable
převedeny:	manner encumbered transferable
Splacení:	of Payment Payments
upisuje:	by Payments subscribed
měně:	of at currency
přepočítacím:	of at ;
koeficientu:	of at ;
měnou:	the as currency
jednotkou:	of at ;
platném:	of at ;
Účelem:	to The purpose
mezní:	help value limit
příloha:	fix Annex dioxide
oxid:	Annex dioxide atmosphere
dusičitý:	nitrogen dioxide atmosphere
zvláště:	help protect beings
ochraně:	nitrogen dioxide atmosphere
lidského:	help human order
dusičitého:	the nitrogen dioxide
životním:	help protect beings
směrné:	guide values contribute
životního:	of protection guide
expozici:	at work exposure
dusičitému:	at work exposure
pracovním:	at exposure buildings
budov:	at work exposure
hodnotou:	laid value exceeded
koncentrace:	the concentration concentrations
tabulce:	laid table defined
překročena:	down laid exceeded
určených:	as means specified
podmínek:	conditions under must
následujících:	must following throughout
směrnými:	and specific reference
hodnotami:	over serve values
sloužit:	and specific reference
výchozí:	and specific reference
body:	within determined points
zřizování:	and specific reference
zvláštních:	and particular reference
režimů:	within determined points
členskými:	by Member concentrations
měřené:	with given accordance
přesahovat:	with given accordance
stanovené:	as not value
provedená:	after despite exceed
existovat:	, after despite
přesáhnou:	after despite exceed
stanovenou:	atmosphere concentrations zones
daný:	after despite exceed
členský:	State shall Member
informuje:	after despite exceed
červencem:	after despite exceed
Dotčený:	It improvement forward
předá:	of improvement forward
postupné:	It improvement forward
kvality:	of air quality
vypracované:	taken drawn implemented
relevantních:	taken drawn implemented
informací:	be shall information
znečištění:	concerned particular pollution
obsahovat:	should taken contain
zavedených:	taken drawn implemented
připravovaných:	taken drawn implemented
daným:	taken drawn implemented
státem:	State by development
snížení:	- these within
koncentrací:	given within values
dotčených:	these within exceeding
nepřesahující:	these within exceeding
nejpozději:	at not latest
omezit:	which limit nitrogen
předpokládané:	it considers industrial
zvýšení:	wake increase foreseeable
oxidem:	by dioxide values
dusičitým:	it considers industrial
zástavby:	it considers industrial
takovému:	to which nitrogen
domnívá:	are it considers
uplatňována:	are environmental considers
ochrana:	are protection considers
kdykoli:	, at time
přísnější:	more at stringent
zřídí:	establish where supply
měřicí:	establish where measuring
stanice:	where stations specifications
uplatňování:	shall application applying
specifikací:	accordance exceeded specifications
překračování:	accordance exceeded specifications
překročení:	value shall exceeded
též:	measure Such nitric
měřit:	measure Such nitric
dusnatého:	measure Such nitric
informovat:	which 31 inform
naměřených:	they which measured
koncentracích:	From have concentrations
skončení:	end annual instances
referenčního:	than annual reference
31:	laid 31 recorded
prosince:	, which December
příčinách:	year deal them
učiněna:	year deal them
informují:	, In addition
mezních:	laid limit values
hodnotách:	have they values
termínech:	they deadlines timetables
časových:	have deadlines timetables
plánech:	have deadlines timetables
odpovídajících:	have they appropriate
oblastmi:	to zones concerning
uvedenými:	) zones concerning
zpřístupněny:	This made available
vydává:	a on periodically
souhrnnou:	The publish summary
zprávu:	report publish summary
Opatření:	measures application pollution
přijatá:	measures application pollution
způsobit:	must down laid
významné:	implementation where deterioration
zhoršení:	implementation where deterioration
městskou:	measures application pollution
zástavbu:	measures application pollution
provedení:	of The measures
hodnotě:	is a taken
analytickou:	to either analysis
prokázáno:	to been shown
rovnocenná:	been shown equivalent
metodou:	the shown method
některý:	or other border
koncentraci:	or other border
příhraniční:	or other border
konzultuje:	or other border
nejprve:	or other border
dotčenými:	or other border
informována:	be informed shall
významného:	given been following
původ:	) hold consultations
hodnot:	concerned pollution values
předmětem:	which been subject
dotčené:	) hold consultations
konzultují:	) hold consultations
vzniklou:	) hold consultations
přizpůsobující:	described specifications adapt
nepřímo:	, alter indirectly
pozměnění:	, such alter
zřizuje:	called on up
přizpůsobování:	called on up
vědeckému:	called on up
složený:	composed Scientific Progress
jednací:	own rules procedure
řád:	own rules procedure
45:	taken Decisions 45
hlasům:	as provided applied
zamýšlená:	proposed adopt consistent
stanoviskem:	they opinion if
nezaujme:	without delivered delay
usnese:	The shall decide
neusnese:	not has acted
ode:	has it adopted
předán:	submitted proposed within
navrhovaná:	submitted proposed within
uvedou:	force into laws
účinnost:	force into laws
právní:	shall latest bring
sdělí:	the provisions texts
nestanoví:	not those authorise
barvení:	any use colouring
spotřebě:	for intended consumption
potraviny:	authorise foodstuffs listed
používána:	provided Save authorise
barviva:	matters colouring listed
Použití:	The subject prohibition
barviv:	matters colouring foodstuffs
zakázáno:	such any shall
ohrozit:	year maximum foodstuffs
nejvýše:	that may foodstuffs
pozastavit:	year foodstuffs suspend
používání:	to a use
potravinách:	year maximum foodstuffs
pozastavení:	It such suspension
jednomyslně:	from acting unanimously
rozhodne:	The what decide
změněn:	what so amended
popřípadě:	what so if
prodloužit:	if set sentence
větě:	if set sentence
vztahuje:	in shall apply
dovážené:	this whether provisions
výrobky:	The products apply
zpracované:	this whether provisions
nezpracované:	this whether provisions
oznámení:	following period notification
ponechat:	For maintain existing
platnosti:	For maintain existing
Před:	of , a
uplynutím:	Before act authorising
rozhodnout:	Before act authorising
povoluje:	Before act authorising
Povolení:	after if harmless
uděleno:	after if harmless
vědeckým:	after if harmless
zkoumáním:	after if harmless
neškodí:	after if harmless
lidskému:	after if harmless
hospodářských:	after if harmless
Touto:	This affect rules
dotčeny:	This affect rules
přírodních:	- which certain
výrobě:	in are example
určitých:	in an particular
aromatické:	not which aromatic
chuťové:	- which certain
nutriční:	- which certain
vlastnosti:	- which certain
barvicí:	- which certain
mletá:	- which certain
paprika:	- which certain
kurkuma:	- which certain
šafrán:	- which certain
santalové:	- which certain
dřevo:	- which certain
povolených:	This : authorised
dekorační:	hard tobacco manufactured
skořápek:	the shells eggs
vařených:	hard tobacco manufactured
vajec:	the shells eggs
tabákových:	hard tobacco manufactured
výrobků:	of a products
označování:	external fruit citrus
masa:	external fruit citrus
citrusových:	external fruit citrus
plodů:	external fruit citrus
povlaků:	not cheese rinds
sýrů:	not cheese rinds
vnějších:	external fruit citrus
ploch:	external fruit citrus
nekonzumují:	external fruit citrus
určeny:	what specifying treated
barveny:	what specifying treated
barvivy:	what specifying treated
prováděno:	what specifying treated
povolí:	, diluting dissolving
ředění:	, products listed
rozpouštění:	, products listed
článků:	burnt paraffin wax
rubínového:	burnt paraffin wax
pigmentu:	burnt paraffin wax
umbry:	burnt paraffin wax
pálené:	burnt paraffin wax
smíchání:	burnt paraffin wax
parafinovým:	burnt paraffin wax
voskem:	burnt paraffin wax
neškodnými:	burnt paraffin wax
veškerá:	The : all
použita:	to colour specific
splňovala:	to colour specific
obecná:	ensure general used
specifická:	to colour specific
použity:	dilute dissolve Section
splňovaly:	dilute dissolve Section
čistotu:	down laid purity
oddílu:	to dilute Section
obaly:	placed bear containers
nádoby:	placed bear containers
označeny:	placed bear containers
adresou:	of address seller
prodejce:	of address seller
usazeného:	of address seller
Evropském:	the European Economic
hospodářském:	the European Economic
číslem:	number according numbering
číslování:	number according numbering
uvedeno:	number according numbering
barvivo:	matter colouring foodstuffs
uvedeny:	of other information
obalech:	under appears required
nádobách:	under appears required
požadovaná:	under appears required
úředních:	under appears required
jazycích:	of under required
germánském:	under appears required
jazyce:	under required solely
románském:	under appears required
zakázat:	under appears required
dovoz:	not under required
nedostatečného:	under appears required
označení:	is the required
žvýkačky:	far so gum
obsahují:	far so gum
vědeckého:	light amend evident
zřejmým:	light amend evident
konzultaci:	consulting verify satisfied
analýzy:	of analysis consulting
kritérií:	consulting verify satisfied
změněné:	thus placed amended
vztahovat:	thus placed amended
uváděné:	thus placed amended
Použije:	be date shall
věta:	of date Where
nahrazuje:	of date Where
uplynutí:	date shall expiry
lhůty:	of to for
stanovený:	is of date
dotyčném:	of date Where
dnem:	of date Where
předchozím:	of set preceding
vývoz:	products intended exportation
francouzské:	in French departments
zámořské:	in overseas departments
departementy:	in overseas departments
Barviva:	sections below colouring
níže:	sections below colouring
oddílech:	sections below colouring
Uvedený:	is given name
chemický:	is given name
název:	is given name
přísluší:	is given name
sodné:	matter combined sodium
soli:	matter combined sodium
odchylky:	stated respect combinations
180:	stated respect combinations
Rubínový:	stated respect combinations
pigment:	stated respect combinations
povoleno:	stated respect combinations
samotné:	in itself combinations
kyseliny:	stated respect combinations
vápenaté:	stated respect combinations
draselné:	stated respect combinations
hlinité:	stated respect combinations
kombinací:	of these combinations
Povoleny:	natural colouring identical
syntetické:	natural colouring identical
identické:	natural colouring identical
přírodním:	natural colouring identical
barvivům:	natural colouring identical
OBECNÁ:	GENERAL OF PURITY
KRITÉRIA:	GENERAL OF PURITY
PRO:	GENERAL OF PURITY
ČISTOTU:	GENERAL OF PURITY
specifických:	of required specific
kritériích:	pure required calculated
oddíle:	pure required calculated
stanoveno:	pure required percentages
procentech:	pure required Unless
vztaženy:	pure required calculated
Anorganické:	Aleksander Inorganic impurities
nečistoty:	Aleksander Inorganic impurities
